date,precipitation_mm
2000-01-01,97.58187629874944
2000-02-01,80.37414972494336
2000-03-01,74.5482027394337
2000-04-01,80.64899265742699
2000-05-01,83.42167409968827
2000-06-01,39.66222424765296
2000-07-01,9.7552767496011
2000-08-01,0.469700000463839
2000-09-01,46.88245302469478
2000-10-01,29.049177671249385
2000-11-01,50.921337526438826
2000-12-01,45.22287063063564
2001-01-01,31.40612824223533
2001-02-01,40.70133458106051
2001-03-01,45.95196685173847
2001-04-01,69.55846865839177
2001-05-01,45.752127571987806
2001-06-01,42.70689630181081
2001-07-01,11.132422005454744
2001-08-01,3.8529905446398742
2001-09-01,11.198824341812314
2001-10-01,86.9706853686593
2001-11-01,108.18267810261976
2001-12-01,128.01271672882103
2002-01-01,91.05960332479864
2002-02-01,45.17077599122414
2002-03-01,59.79847930349919
2002-04-01,49.71533556439941
2002-05-01,58.53811887732381
2002-06-01,44.76122113761177
2002-07-01,11.712724730045643
2002-08-01,12.959933868139816
2002-09-01,19.649624928104934
2002-10-01,9.723908470629706
2002-11-01,68.04770991038626
2002-12-01,131.17609390654567
2003-01-01,130.91034627908266
2003-02-01,31.18805602712529
2003-03-01,88.3674785590374
2003-04-01,48.52631997012877
2003-05-01,66.23570737782478
2003-06-01,18.444663705053987
2003-07-01,0.1482313814983858
2003-08-01,11.696395274407209
2003-09-01,40.447384411295424
2003-10-01,36.72408646888566
2003-11-01,87.8395922622361
2003-12-01,84.52018743738172
2004-01-01,99.55849590893912
2004-02-01,65.85625742142565
2004-03-01,37.91284579205164
2004-04-01,28.49085454237633
2004-05-01,87.8460622379309
2004-06-01,30.361808705796136
2004-07-01,3.07027655246948
2004-08-01,69.01074077424022
2004-09-01,45.97640334520759
2004-10-01,61.68069229145793
2004-11-01,68.02497019833758
2004-12-01,59.92509375347879
2005-01-01,56.01716813471742
2005-02-01,3.6297847902519567
2005-03-01,80.90588153781214
2005-04-01,30.333598881220077
2005-05-01,79.13191178244091
2005-06-01,54.724856731696896
2005-07-01,39.92617913698094
2005-08-01,14.69403926166092
2005-09-01,24.687360268470076
2005-10-01,64.96976696723439
