date,huc8,data_val
2000-01-01,18040002,20.704762679164308
2000-02-01,18040002,30.16807738081346
2000-03-01,18040002,63.953164973050484
2000-04-01,18040002,81.76818464169124
2000-05-01,18040002,79.60052108811698
2000-06-01,18040002,87.62044450073925
2000-07-01,18040002,94.55396833276954
2000-08-01,18040002,86.8229778845305
2000-09-01,18040002,58.115990202317406
2000-10-01,18040002,36.19320170229281
2000-11-01,18040002,22.41409068763828
2000-12-01,18040002,18.456015320354943
2001-01-01,18040002,21.392114399641684
2001-02-01,18040002,30.507102112431244
2001-03-01,18040002,62.32118027304965
2001-04-01,18040002,73.60320857614131
2001-05-01,18040002,86.74427653412887
2001-06-01,18040002,84.21826554406628
2001-07-01,18040002,93.12521307975544
2001-08-01,18040002,87.47291774531978
2001-09-01,18040002,57.423740176865586
2001-10-01,18040002,35.338867389325436
2001-11-01,18040002,19.929974011990517
2001-12-01,18040002,17.1105307148133
2002-01-01,18040002,19.713479725644486
2002-02-01,18040002,33.96545714000399
2002-03-01,18040002,58.37192229346952
2002-04-01,18040002,66.57241391387022
2002-05-01,18040002,77.70406169571659
2002-06-01,18040002,84.58836068566755
2002-07-01,18040002,92.64635338748256
2002-08-01,18040002,82.23220199918863
2002-09-01,18040002,54.79339456155997
2002-10-01,18040002,35.28517234328695
2002-11-01,18040002,22.092939975324963
2002-12-01,18040002,16.08229951260813
2003-01-01,18040002,21.084731548122097
2003-02-01,18040002,36.15696683847368
2003-03-01,18040002,66.82933481405642
2003-04-01,18040002,68.36710894951938
2003-05-01,18040002,88.80488973700311
2003-06-01,18040002,83.46006886146276
2003-07-01,18040002,105.72377991568642
2003-08-01,18040002,84.7752558006029
2003-09-01,18040002,59.853093975489834
2003-10-01,18040002,37.63690146543652
2003-11-01,18040002,22.92838354863179
2003-12-01,18040002,17.990049148679496
2004-01-01,18040002,22.095534745372152
2004-02-01,18040002,30.367625926244955
2004-03-01,18040002,71.00639418276718
2004-04-01,18040002,76.55558016149516
2004-05-01,18040002,78.69529372607198
2004-06-01,18040002,87.27458898517553
2004-07-01,18040002,93.06692056607748
2004-08-01,18040002,75.82795220371419
2004-09-01,18040002,55.465602748630374
2004-10-01,18040002,37.762552206169204
2004-11-01,18040002,22.555632662657853
2004-12-01,18040002,17.131893443645694
2005-01-01,18040002,18.921115078417134
2005-02-01,18040002,34.04740762623664
2005-03-01,18040002,69.28528473429351
2005-04-01,18040002,85.24800266811168
2005-05-01,18040002,89.91233065837415
2005-06-01,18040002,86.61696176429068
2005-07-01,18040002,106.28903706779967
2005-08-01,18040002,96.55211490752097
2005-09-01,18040002,62.16412026879696
2005-10-01,18040002,41.32243876038023
2005-11-01,18040002,20.069495805245804
2005-12-01,18040002,16.425366182830704
2006-01-01,18040002,21.45469429053866
2006-02-01,18040002,33.834980819642865
2006-03-01,18040002,49.01202578446394
2006-04-01,18040002,74.85240849899964
2006-05-01,18040002,100.87660582727844
2006-06-01,18040002,92.73839520009162
2006-07-01,18040002,104.14318965944972
2006-08-01,18040002,82.12191740808473
2006-09-01,18040002,57.3867815824652
2006-10-01,18040002,36.759718105159195
2006-11-01,18040002,19.491114417849865
2006-12-01,18040002,15.544764970876937
2007-01-01,18040002,20.075172327191936
2007-02-01,18040002,28.77878386165728
2007-03-01,18040002,62.7972798234991
2007-04-01,18040002,66.8054941598107
2007-05-01,18040002,75.55244242913844
2007-06-01,18040002,81.33774616824739
2007-07-01,18040002,94.52005981817234
2007-08-01,18040002,89.61584936198406
2007-09-01,18040002,56.43852835913401
2007-10-01,18040002,33.37056138274662
2007-11-01,18040002,21.749464262698357
2007-12-01,18040002,19.842705093385565
2008-01-01,18040002,20.550602452841755
2008-02-01,18040002,32.34397554761551
2008-03-01,18040002,65.40261256883701
