basin_group_id,year_month,water_year,year,month,q_in_cfs,q_out_cfs,q_net_cfs
17010102,2000-01-01,2000,2000,1,0.0,170.1290322580645,-170.1290322580645
17010102,2000-02-01,2000,2000,2,0.0,221.6551724137931,-221.6551724137931
17010102,2000-03-01,2000,2000,3,0.0,427.8064516129032,-427.8064516129032
17010102,2000-04-01,2000,2000,4,0.0,1617.8666666666666,-1617.8666666666666
17010102,2000-05-01,2000,2000,5,0.0,1123.8064516129032,-1123.8064516129032
17010102,2000-06-01,2000,2000,6,0.0,678.2333333333333,-678.2333333333333
17010102,2000-07-01,2000,2000,7,0.0,223.3548387096774,-223.3548387096774
17010102,2000-08-01,2000,2000,8,0.0,105.29032258064515,-105.29032258064515
17010102,2000-09-01,2000,2000,9,0.0,101.66666666666669,-101.66666666666669
17010102,2000-10-01,2001,2000,10,0.0,104.4516129032258,-104.4516129032258
17010102,2000-11-01,2001,2000,11,0.0,101.86666666666666,-101.86666666666666
17010102,2000-12-01,2001,2000,12,0.0,93.87096774193547,-93.87096774193547
17010102,2001-01-01,2001,2001,1,0.0,92.0,-92.0
17010102,2001-02-01,2001,2001,2,0.0,98.10714285714286,-98.10714285714286
17010102,2001-03-01,2001,2001,3,0.0,133.51612903225808,-133.51612903225808
17010102,2001-04-01,2001,2001,4,0.0,317.7333333333333,-317.7333333333333
17010102,2001-05-01,2001,2001,5,0.0,743.516129032258,-743.516129032258
17010102,2001-06-01,2001,2001,6,0.0,265.1666666666667,-265.1666666666667
17010102,2001-07-01,2001,2001,7,0.0,113.61290322580643,-113.61290322580643
17010102,2001-08-01,2001,2001,8,0.0,65.35483870967742,-65.35483870967742
17010102,2001-09-01,2001,2001,9,0.0,54.56666666666667,-54.56666666666667
17010102,2001-10-01,2002,2001,10,0.0,76.35161290322581,-76.35161290322581
17010102,2001-11-01,2002,2001,11,0.0,157.33333333333334,-157.33333333333334
17010102,2001-12-01,2002,2001,12,0.0,117.8741935483871,-117.8741935483871
17010102,2002-01-01,2002,2002,1,0.0,281.8322580645161,-281.8322580645161
17010102,2002-02-01,2002,2002,2,0.0,353.2857142857143,-353.2857142857143
17010102,2002-03-01,2002,2002,3,0.0,381.7741935483871,-381.7741935483871
17010102,2002-04-01,2002,2002,4,0.0,1889.3666666666663,-1889.3666666666663
17010102,2002-05-01,2002,2002,5,0.0,1868.8064516129032,-1868.8064516129032
17010102,2002-06-01,2002,2002,6,0.0,1360.9666666666667,-1360.9666666666667
17010102,2002-07-01,2002,2002,7,0.0,390.4516129032258,-390.4516129032258
17010102,2002-08-01,2002,2002,8,0.0,151.16129032258064,-151.16129032258064
17010102,2002-09-01,2002,2002,9,0.0,109.98333333333332,-109.98333333333332
17010102,2002-10-01,2003,2002,10,0.0,88.52258064516128,-88.52258064516128
17010102,2002-11-01,2003,2002,11,0.0,108.81666666666666,-108.81666666666666
17010102,2002-12-01,2003,2002,12,0.0,117.90322580645162,-117.90322580645162
17010102,2003-01-01,2003,2003,1,0.0,147.66774193548386,-147.66774193548386
17010102,2003-02-01,2003,2003,2,0.0,293.85714285714283,-293.85714285714283
17010102,2003-03-01,2003,2003,3,0.0,456.5161290322581,-456.5161290322581
17010102,2003-04-01,2003,2003,4,0.0,918.5333333333332,-918.5333333333332
17010102,2003-05-01,2003,2003,5,0.0,694.6774193548387,-694.6774193548387
17010102,2003-06-01,2003,2003,6,0.0,430.9666666666666,-430.9666666666666
17010102,2003-07-01,2003,2003,7,0.0,137.20967741935485,-137.20967741935485
17010102,2003-08-01,2003,2003,8,0.0,76.45483870967742,-76.45483870967742
17010102,2003-09-01,2003,2003,9,0.0,71.90666666666667,-71.90666666666667
17010102,2003-10-01,2004,2003,10,0.0,86.42258064516129,-86.42258064516129
17010102,2003-11-01,2004,2003,11,0.0,125.88333333333334,-125.88333333333334
17010102,2003-12-01,2004,2003,12,0.0,135.48387096774192,-135.48387096774192
17010102,2004-01-01,2004,2004,1,0.0,101.87096774193547,-101.87096774193547
17010102,2004-02-01,2004,2004,2,0.0,152.20689655172413,-152.20689655172413
17010102,2004-03-01,2004,2004,3,0.0,410.64516129032256,-410.64516129032256
17010102,2004-04-01,2004,2004,4,0.0,855.9666666666667,-855.9666666666667
