date,precipitation_mm
2000-01-01,88.65779886614985
2000-02-01,75.7091219993427
2000-03-01,55.73761133935452
2000-04-01,17.005434198336562
2000-05-01,31.608809794521196
2000-06-01,45.83639340490064
2000-07-01,38.695068626922776
2000-08-01,3.1886676921755197
2000-09-01,15.674108907341427
2000-10-01,39.089638365955146
2000-11-01,53.11944871397057
2000-12-01,60.97541275837338
2001-01-01,36.61804167788799
2001-02-01,35.19971222693122
2001-03-01,56.960727471662025
2001-04-01,35.84830167440497
2001-05-01,22.69390369374699
2001-06-01,38.69320210794775
2001-07-01,13.514260152946832
2001-08-01,12.185278689341947
2001-09-01,13.954562745729348
2001-10-01,83.15078010317914
2001-11-01,117.73371770210944
2001-12-01,121.51568574306656
2002-01-01,98.81845659546006
2002-02-01,81.84011680885297
2002-03-01,78.09857507299755
2002-04-01,37.39471097391241
2002-05-01,37.3485773575291
2002-06-01,24.87417045713528
2002-07-01,15.096414351598169
2002-08-01,10.224583971892477
2002-09-01,9.68684049762082
2002-10-01,4.722414071905207
2002-11-01,48.22317973608212
2002-12-01,151.91851175048123
2003-01-01,144.08956508238748
2003-02-01,27.185820391355463
2003-03-01,91.98264051904046
2003-04-01,74.15041298903117
2003-05-01,18.631401192995707
2003-06-01,6.379748026828265
2003-07-01,0.8399419419752118
2003-08-01,3.363188792569473
2003-09-01,9.219042711515188
2003-10-01,145.498631791694
2003-11-01,158.01300094468186
2003-12-01,90.5034278803613
2004-01-01,62.92848548635037
2004-02-01,41.54600651356856
2004-03-01,50.12233312972056
2004-04-01,19.237147607585342
2004-05-01,51.49708494778625
2004-06-01,57.3122938235875
2004-07-01,10.307582489088414
2004-08-01,47.946677193621326
2004-09-01,38.32884408023367
2004-10-01,53.72938784614805
2004-11-01,44.172731328302895
2004-12-01,88.84040890665278
2005-01-01,67.99391992890246
2005-02-01,9.996516957210694
2005-03-01,62.51548825668839
2005-04-01,43.71225649024616
2005-05-01,66.6886776653681
2005-06-01,59.71614863589125
2005-07-01,18.53160427265656
2005-08-01,8.457209002210988
2005-09-01,22.09664586224153
2005-10-01,58.98771084928002
2005-11-01,91.98751267639328
2005-12-01,104.16494057868373
2006-01-01,184.28245402816225
