date,precipitation_mm
2000-01-01,81.62632384837471
2000-02-01,59.7610708277472
2000-03-01,56.50436094579937
2000-04-01,59.51514374304082
2000-05-01,70.5090907599846
2000-06-01,73.8941321054677
2000-07-01,19.267235115638474
2000-08-01,13.619474048277972
2000-09-01,94.54364444795212
2000-10-01,37.2455253488292
2000-11-01,36.26347202029955
2000-12-01,54.375271850403685
2001-01-01,30.979125863994096
2001-02-01,53.28852630352765
2001-03-01,52.25645040343863
2001-04-01,75.04484970261103
2001-05-01,32.27924575363995
2001-06-01,111.97852573417158
2001-07-01,23.03244997347348
2001-08-01,2.30341173746638
2001-09-01,19.401748320334278
2001-10-01,94.24232092324986
2001-11-01,59.06606693874636
2001-12-01,59.36332219320367
2002-01-01,86.66380914907863
2002-02-01,60.92639688620904
2002-03-01,92.09112858002015
2002-04-01,60.78305972977046
2002-05-01,104.59660422363382
2002-06-01,119.03093037187536
2002-07-01,21.224114117010057
2002-08-01,38.91774787908484
2002-09-01,55.759011216001255
2002-10-01,17.35826905503243
2002-11-01,46.736425958390704
2002-12-01,60.84707998895553
2003-01-01,80.93195272463073
2003-02-01,46.06426306913393
2003-03-01,116.10100593749772
2003-04-01,54.34486908962867
2003-05-01,66.48493754367337
2003-06-01,52.969332839593335
2003-07-01,3.675174843686827
2003-08-01,12.586233117053435
2003-09-01,55.13927419030455
2003-10-01,42.36887198322801
2003-11-01,83.48926227303676
2003-12-01,61.128674665392175
2004-01-01,93.92585713710216
2004-02-01,25.129611915081107
2004-03-01,45.47529865939324
2004-04-01,74.67593948628505
2004-05-01,107.59852705740644
2004-06-01,55.08638139763467
2004-07-01,29.02078782746277
2004-08-01,97.44208189462756
2004-09-01,70.39744537197724
2004-10-01,69.67887088338142
2004-11-01,53.873982812508224
2004-12-01,64.805493154128
2005-01-01,46.97628536649462
2005-02-01,13.349739832357946
2005-03-01,82.35180708578038
2005-04-01,54.61143147085396
2005-05-01,98.54572165134164
2005-06-01,118.65731198040808
2005-07-01,15.794843936691656
2005-08-01,21.45206102244535
2005-09-01,83.7235942395483
2005-10-01,75.99314197237251
2005-11-01,77.55612239672098
2005-12-01,73.50386529142025
2006-01-01,128.5854249369069
2006-02-01,66.74356853565789
2006-03-01,43.06036162156583
2006-04-01,84.72200181837664
2006-05-01,72.954579156922
2006-06-01,117.81518856869228
2006-07-01,11.94044838083076
2006-08-01,24.94833414911769
2006-09-01,52.132766945382485
2006-10-01,60.51252804619431
2006-11-01,157.93139116972657
2006-12-01,61.05974908725406
2007-01-01,51.07271670189172
2007-02-01,71.36606458198207
2007-03-01,68.72231459847511
2007-04-01,39.63619624784869
2007-05-01,74.08579457840915
2007-06-01,50.96086851352978
2007-07-01,4.528197724709018
2007-08-01,17.20323141729859
2007-09-01,38.18419158953224
2007-10-01,61.29956976851952
2007-11-01,55.08455550786254
2007-12-01,103.67446954069976
2008-01-01,102.1089417257541
2008-02-01,62.391381205115806
2008-03-01,73.74071351504321
2008-04-01,52.271740518944895
2008-05-01,85.64128988002464
2008-06-01,86.7137090674084
2008-07-01,11.00431408166976
2008-08-01,43.82495785057798
2008-09-01,32.837718021135686
2008-10-01,24.24603724646328
2008-11-01,67.38370848879539
2008-12-01,100.00536905338268
2009-01-01,92.98541338249302
2009-02-01,53.623395150837496
2009-03-01,90.70877318863847
2009-04-01,49.987695279971135
2009-05-01,75.09771458601067
2009-06-01,36.8190551879049
2009-07-01,55.24741957299457
2009-08-01,50.96262014225575
2009-09-01,8.22150204192269
2009-10-01,89.60027631614533
2009-11-01,49.02216923252894
2009-12-01,67.53219959297321
2010-01-01,52.08560742532766
2010-02-01,31.601597755943384
2010-03-01,56.10694584274793
2010-04-01,96.3920070480432
2010-05-01,93.2361842048465
2010-06-01,147.50139482533885
2010-07-01,21.46843446895065
2010-08-01,41.75602612914441
2010-09-01,82.97389481282842
2010-10-01,47.891889502239565
2010-11-01,106.7215446427198
2010-12-01,96.82587347574028
2011-01-01,117.23804812795484
2011-02-01,81.33710241628303
2011-03-01,82.57150816388878
2011-04-01,119.6935113060982
2011-05-01,84.13243349324824
2011-06-01,117.73815986918902
2011-07-01,17.2827933026678
2011-08-01,16.237681721215203
2011-09-01,22.25603161458195
2011-10-01,100.23012096132452
2011-11-01,69.63300233227966
2011-12-01,48.51004702724968
2012-01-01,86.21418662241028
2012-02-01,64.43918724909999
2012-03-01,123.77160187607925
2012-04-01,86.16042411324746
2012-05-01,62.53435009866733
2012-06-01,132.25877583579998
2012-07-01,29.7105745725864
2012-08-01,13.535796521119094
2012-09-01,9.195965813477535
2012-10-01,108.00844010514156
2012-11-01,90.09096977068972
2012-12-01,93.6369635177809
2013-01-01,64.29124656356309
2013-02-01,47.27458388526119
2013-03-01,66.80312077397058
2013-04-01,107.68471893005032
2013-05-01,57.94109433179506
2013-06-01,88.79082673726009
2013-07-01,7.169115659191606
2013-08-01,40.50871629393712
2013-09-01,95.94312951825384
2013-10-01,16.354346926041657
2013-11-01,97.29682974526456
2013-12-01,67.85525686784952
2014-01-01,70.9762896363074
2014-02-01,80.96951623260593
2014-03-01,143.57657018256853
2014-04-01,76.29654909699993
2014-05-01,60.54187746102416
2014-06-01,123.54563642473592
2014-07-01,13.195994832775938
2014-08-01,45.59796557727236
2014-09-01,33.60276031267807
2014-10-01,54.15843470753415
2014-11-01,110.51235541871996
2014-12-01,84.80153322205943
2015-01-01,68.77812288646864
2015-02-01,58.307652227973016
2015-03-01,86.61494469318598
2015-04-01,32.745963234151965
2015-05-01,29.928179772149736
2015-06-01,35.652669710698525
2015-07-01,20.80291165935848
2015-08-01,16.559698378036124
2015-09-01,44.279728342633824
2015-10-01,62.95478427907953
2015-11-01,57.90677152221799
2015-12-01,109.72096891868604
2016-01-01,62.56206328563763
2016-02-01,61.42187683926876
2016-03-01,86.74610070255896
2016-04-01,55.71086604402589
2016-05-01,104.41750151514154
2016-06-01,44.87811994042792
2016-07-01,31.33635452296613
2016-08-01,32.03820794398025
2016-09-01,46.767646345631874
2016-10-01,179.1688056519544
2016-11-01,56.15498696142944
2016-12-01,83.05703897877892
2017-01-01,41.88005332465029
2017-02-01,121.19021232533576
2017-03-01,126.7554261475464
2017-04-01,97.11677809460603
2017-05-01,50.34638340423506
2017-06-01,57.011232525230405
2017-07-01,2.0997209226058104
2017-08-01,6.520091707300418
2017-09-01,40.47661642552104
2017-10-01,73.20779805624326
2017-11-01,106.34489673877232
2017-12-01,110.12777264979842
2018-01-01,87.8939177415626
2018-02-01,116.09824654033054
2018-03-01,53.27274542479787
2018-04-01,78.24463842180229
2018-05-01,81.13808641511439
2018-06-01,69.32889345163503
2018-07-01,13.42031676383185
2018-08-01,19.49714568346492
2018-09-01,19.365991697522407
2018-10-01,71.85175161117944
2018-11-01,76.05755391988745
2018-12-01,64.78885964747353
2019-01-01,51.22517433208749
2019-02-01,86.9881006573904
2019-03-01,24.33279629910624
2019-04-01,116.44621512706308
2019-05-01,55.34376782395352
2019-06-01,55.96904692799071
2019-07-01,35.10412028605599
2019-08-01,32.71546934214449
2019-09-01,101.31230559765876
2019-10-01,68.56844395886863
2019-11-01,38.87595876493843
2019-12-01,65.25776398454651
2020-01-01,106.92345176685768
2020-02-01,59.50850662552099
2020-03-01,57.05916596139426
2020-04-01,71.25111026974135
2020-05-01,97.38708693000366
2020-06-01,104.9052035976226
2020-07-01,13.432731357287883
2020-08-01,6.972180115596957
2020-09-01,31.69591652355678
2020-10-01,111.13607064819922
2020-11-01,106.05733656317054
2020-12-01,53.892580193390025
2021-01-01,55.21053481976245
2021-02-01,71.56527501804234
2021-03-01,35.40577797962228
2021-04-01,52.317487111176085
2021-05-01,93.69347538512756
2021-06-01,40.73725040984627
2021-07-01,7.044005924826161
2021-08-01,69.77917767508542
2021-09-01,42.74221475202606
2021-10-01,63.34402288978463
2021-11-01,84.81533287901367
2021-12-01,109.6363142085686
2022-01-01,64.96856688553369
2022-02-01,61.51091501738845
2022-03-01,65.21148366528416
2022-04-01,62.814355745216375
2022-05-01,74.95839306188181
2022-06-01,117.23239280032324
2022-07-01,30.09410316772849
2022-08-01,19.94526822059527
2022-09-01,37.77111407967856
2022-10-01,43.12327996177822
